Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.02,30.0000008,139.999999,0.622330487,0.326996982
0.02,30.0000008,144.999998,0.711683869,0.260287166
0.02,30.0000008,149.999997,0.795550704,0.197682038
0.02,30.0000008,154.999996,0.871368468,0.141095906
0.02,30.0000008,159.999995,0.93681556,0.0922630504
0.02,30.0000008,164.999994,0.989884138,0.0526829101
0.02,30.0000008,169.999993,1.02894449,0.0235729776
0.02,30.0000008,175.000006,1.05279493,0.00583007745
0.02,30.0000008,180.000005,1.06070101,2.02481374e-06
0.02,30.0000008,185.000004,1.05242014,0.00626977114
0.02,30.0000008,190.000003,1.02820635,0.024441842
0.02,30.0000008,195.000002,0.988806009,0.0539603904
0.02,30.0000008,200.000001,0.935430288,0.0939190313
0.02,30.0000008,205,0.869719207,0.143091649
0.02,30.0000008,209.999999,0.793688297,0.199971288
0.02,30.0000008,214.999998,0.709665596,0.262817651
0.02,30.0000008,219.999997,0.620218575,0.329711795
0.02,30.0000008,224.999996,0.528074324,0.398615241
0.02,30.0000008,230.000009,0.436035484,0.467433423
0.02,30.0000008,235.000008,0.346895546,0.534078658
0.02,30.0000008,240.000007,0.263353109,0.596534371
0.02,30.0000008,245.000006,0.187931791,0.652914882
0.02,30.0000008,250.000005,0.122905008,0.701521337
0.02,30.0000008,255.000004,0.0702295825,0.740891695
0.02,30.0000008,260.000003,0.0314879306,0.769843757
0.02,30.0000008,265.000002,0.00784255937,0.787509143
0.02,30.0000008,270.000001,2.31994159e-06,0.793358207
0.02,30.0000008,275,0.00820205547,0.787216246
0.02,30.0000008,279.999999,0.0321958549,0.769266725
0.02,30.0000008,284.999998,0.0712641552,0.740048289
0.02,30.0000008,289.999997,0.124234393,0.700437248
0.02,30.0000008,294.999996,0.189514965,0.651622891
0.02,30.0000008,299.999995,0.265141368,0.595073819
0.02,30.0000008,304.999994,0.34883371,0.53249377
0.02,30.0000008,309.999993,0.438063741,0.465772331
0.02,30.0000008,314.999992,0.530129671,0.396928757
0.02,30.0000008,319.999991,0.622237623,0.328051031
0.02,30.0000008,324.99999,0.71158582,0.261232942
0.02,30.0000008,329.999989,0.795449972,0.198510766
0.02,30.0000008,334.999988,0.871267319,0.141799644
0.02,30.0000008,339.999987,0.936716318,0.0928347856
0.02,30.0000008,345.000013,0.989789546,0.0531165637
0.02,30.0000008,350.000012,1.02885604,0.0238641668
0.02,30.0000008,355.000011,1.05271435,0.00597565575
0.02,30.0000008,360.00001,1.06062961,2.27064504e-07
0.02,34.9999998,0,1.06038737,1.35005067e-07
0.02,34.9999998,4.99999985,1.05210876,0.00546381436
